SEF	0.2.0
ID	DWR_Saladillo
Name	Saladillo
Lat	-35.6389
Lon	-59.7795
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085859
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	7	11	17	0	100698	Orig=755.3mm|orig.time=7am
1902	9	8	11	17	0	101218	Orig=759.2mm|orig.time=7am
1902	9	10	11	17	0	102045	Orig=765.4mm|orig.time=7am
1902	9	14	11	17	0	101272	Orig=759.6mm|orig.time=7am
1902	9	15	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	9	16	11	17	0	101125	Orig=758.5mm|orig.time=7am
1902	9	17	11	17	0	101258	Orig=759.5mm|orig.time=7am
1902	9	18	11	17	0	100298	Orig=752.3mm|orig.time=7am
1902	9	20	11	17	0	101978	Orig=764.9mm|orig.time=7am
1902	9	21	11	17	0	102232	Orig=766.8mm|orig.time=7am
1902	11	25	11	17	0	100752	Orig=755.7mm|orig.time=7am
