SEF	0.2.0
ID	DWR_9_de_Julio
Name	9 de Julio
Lat	-35.4439
Lon	-60.8846
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1084815
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	7	11	17	0	100458	Orig=753.5mm|orig.time=7am
1902	9	12	11	17	0	103032	Orig=772.8mm|orig.time=7am
1902	11	2	11	17	0	101765	Orig=763.3mm|orig.time=7am
1902	11	9	11	17	0	101192	Orig=759mm|orig.time=7am
1902	11	10	11	17	0	101765	Orig=763.3mm|orig.time=7am
1902	11	11	11	17	0	101578	Orig=761.9mm|orig.time=7am
1902	11	12	11	17	0	101552	Orig=761.7mm|orig.time=7am
1902	11	13	11	17	0	101365	Orig=760.3mm|orig.time=7am
1902	11	14	11	17	0	101152	Orig=758.7mm|orig.time=7am
1902	11	15	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	11	16	11	17	0	102005	Orig=765.1mm|orig.time=7am
1902	11	17	11	17	0	101952	Orig=764.7mm|orig.time=7am
1902	11	18	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	11	20	11	17	0	101818	Orig=763.7mm|orig.time=7am
1902	11	21	11	17	0	101232	Orig=759.3mm|orig.time=7am
1902	11	22	11	17	0	101032	Orig=757.8mm|orig.time=7am
1902	11	23	11	17	0	101058	Orig=758mm|orig.time=7am
1902	11	24	11	17	0	101285	Orig=759.7mm|orig.time=7am
1902	11	25	11	17	0	100792	Orig=756mm|orig.time=7am
1902	11	26	11	17	0	102045	Orig=765.4mm|orig.time=7am
1902	11	27	11	17	0	102885	Orig=771.7mm|orig.time=7am
1902	11	28	11	17	0	102112	Orig=765.9mm|orig.time=7am
1902	11	29	11	17	0	101552	Orig=761.7mm|orig.time=7am
1902	11	30	11	17	0	101618	Orig=762.2mm|orig.time=7am
1902	12	1	11	17	0	101578	Orig=761.9mm|orig.time=7am
1902	12	2	11	17	0	101285	Orig=759.7mm|orig.time=7am
1902	12	3	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	12	4	11	17	0	101578	Orig=761.9mm|orig.time=7am
1902	12	5	11	17	0	101552	Orig=761.7mm|orig.time=7am
1902	12	6	11	17	0	100872	Orig=756.6mm|orig.time=7am
1902	12	7	11	17	0	100872	Orig=756.6mm|orig.time=7am
1902	12	8	11	17	0	101098	Orig=758.3mm|orig.time=7am
1902	12	9	11	17	0	102005	Orig=765.1mm|orig.time=7am
1902	12	10	11	17	0	101272	Orig=759.6mm|orig.time=7am
1902	12	11	11	17	0	101165	Orig=758.8mm|orig.time=7am
1902	12	12	11	17	0	100498	Orig=753.8mm|orig.time=7am
1902	12	13	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	12	14	11	17	0	102298	Orig=767.3mm|orig.time=7am
1902	12	15	11	17	0	101912	Orig=764.4mm|orig.time=7am
1902	12	16	11	17	0	101605	Orig=762.1mm|orig.time=7am
1902	12	17	11	17	0	101205	Orig=759.1mm|orig.time=7am
1902	12	18	11	17	0	101272	Orig=759.6mm|orig.time=7am
1902	12	20	11	17	0	101472	Orig=761.1mm|orig.time=7am
1902	12	21	11	17	0	101085	Orig=758.2mm|orig.time=7am
1902	12	22	11	17	0	100618	Orig=754.7mm|orig.time=7am
1902	12	23	11	17	0	100672	Orig=755.1mm|orig.time=7am
1902	12	24	11	17	0	100392	Orig=753mm|orig.time=7am
1902	12	25	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	12	26	11	17	0	100898	Orig=756.8mm|orig.time=7am
1902	12	27	11	17	0	100952	Orig=757.2mm|orig.time=7am
1902	12	28	11	17	0	101272	Orig=759.6mm|orig.time=7am
1902	12	29	11	17	0	101832	Orig=763.8mm|orig.time=7am
1902	12	30	11	17	0	102672	Orig=770.1mm|orig.time=7am
1902	12	31	11	17	0	102418	Orig=768.2mm|orig.time=7am
